"country","region","year","water_source_type","water_treatment_method","contaminant_ppm","ph_level","bacteria_count","access_clean_water_pct","diarrheal_cases_per_100k","infant_mortality_rate","gdp_per_capita_usd","healthcare_access_index","sanitation_coverage_pct"
"India","East",2004,"Well","Chlorination",7.25,6.53,3011,77.13,351,91.65,79511,6,36.2
"Ethiopia","South",2009,"Well","Boiling",1.21,6.5,2090,48.51,300,7.44,99358,83.44,76.79
"Indonesia","North",2009,"River","None",1.69,8.15,460,97.68,196,31,11899,11.8,29.79
"China","South",2005,"Spring","Boiling",3.16,7.69,2752,51.59,224,49.72,41193,21.94,34.08
"Mexico","Central",2018,"Pond","Chlorination",5.94,7.37,148,55.45,427,4.15,93901,65.32,95.28
"China","West",2020,"Pond","None",6.46,7,4433,62.86,46,90.88,70044,74.57,40.27
"Mexico","East",2007,"River","Filtration",3.96,7.08,1133,52.34,184,30.14,54253,69.46,45.86
"India","Central",2000,"Lake","Boiling",0.78,6.14,353,87.22,402,4.79,2316,43.85,70.66
"Ethiopia","East",2016,"Tap","Chlorination",3.74,7.14,1107,91.33,161,99.37,73575,91.81,55.23
"Bangladesh","North",2006,"Tap","Filtration",6.89,7.99,2602,30.77,130,32.52,47837,83.22,64.72
"China","North",2013,"Spring","Chlorination",6.71,6.97,2113,75.83,294,87.92,64762,66.37,31.57
"China","North",2020,"River","Filtration",1.6,6.96,4094,78.03,91,46.44,81510,44.11,73.79
"Pakistan","East",2020,"River","Boiling",0.08,6.04,3685,97.3,74,66.99,49840,46.38,32.53
"Mexico","Central",2016,"Lake","Filtration",7.53,7.14,3206,55.93,443,25.63,51092,17.6,79.82
"Nigeria","North",2008,"Tap","None",1.06,6.06,1109,43.67,137,51.28,34488,77.97,61.89
"Ethiopia","Central",2016,"River","Filtration",0.82,7.43,4179,66.44,167,27.25,89087,86.6,85.3
"Mexico","East",2004,"Pond","Chlorination",0.03,7.27,1977,61.33,257,95.21,14447,82.73,33.81
"Pakistan","Central",2024,"Spring","Filtration",4.33,8.1,226,85.42,237,7.97,63519,54.71,50.2
"USA","East",2019,"Tap","Boiling",5.03,7.45,2939,93.28,44,28.92,10753,83.79,87.75
"Mexico","East",2007,"Lake","Chlorination",6.38,6.81,1012,36.07,486,89.52,30138,79.04,83.9
"Bangladesh","West",2005,"Spring","Chlorination",2.96,7.29,4115,89.26,410,49.04,16104,83.24,97.26
"Ethiopia","East",2010,"Well","Chlorination",7.1,7.75,3106,93.63,308,60.81,34983,98.19,37.76
"Pakistan","East",2018,"Pond","Chlorination",1.69,6.23,3936,94.69,136,65.87,81697,81,63.12
"USA","South",2003,"Lake","None",8.32,7.55,2802,83.5,102,8.95,14748,27.07,21.43
"Brazil","North",2017,"Spring","Chlorination",5.72,8.29,1466,81.95,128,3.74,41077,82.09,97.22
"Pakistan","West",2000,"River","Chlorination",5.84,6.75,2988,31.04,160,93.91,97188,37.56,34.01
"Brazil","West",2012,"Well","Chlorination",2.1,7.57,269,94.41,37,28.61,39378,51.62,92.38
"Ethiopia","West",2013,"Lake","Boiling",0.74,8.05,3806,54.61,56,39.27,83031,79.64,74.27
"China","South",2023,"River","Boiling",4.65,7.28,1531,32.88,160,68.85,76737,31.67,94.95
"Pakistan","East",2000,"Pond","Chlorination",6.16,7.79,303,58.91,175,25.16,28001,2.61,39.86
"India","North",2010,"Well","None",0.95,6.78,4905,81.3,258,73.84,99087,71.81,47.61
"Brazil","Central",2016,"Tap","Filtration",9.51,6.77,1932,60.94,287,46.91,3170,90.22,33.15
"Bangladesh","East",2003,"River","None",9.8,7.67,2040,83.06,460,85.95,61938,92.79,53.79
"India","South",2011,"Spring","Chlorination",5.45,7.76,4021,65.66,404,29.3,15635,79.89,95.8
"Indonesia","East",2009,"Lake","Chlorination",9.5,8.34,141,50.96,323,21.97,92239,93.51,65.69
"Indonesia","East",2005,"Well","None",1.79,6.56,808,44.2,144,83.51,51263,82.07,53.29
"USA","South",2024,"River","Chlorination",0.25,7.17,947,59.48,425,33.98,58560,3.01,45.99
"China","West",2000,"Tap","Filtration",0.39,6.63,3951,32.51,67,42.36,46089,34.97,66.78
"Ethiopia","West",2006,"Lake","Boiling",5.88,6.2,3412,59.58,339,79.78,42141,33.61,77.86
"Pakistan","North",2020,"Lake","Filtration",0.62,7.01,2292,34.8,267,64.29,77667,21.92,52.54
"Nigeria","North",2015,"River","Filtration",9.59,6.94,765,91.39,217,45.29,40432,79.79,38.47
"Bangladesh","West",2023,"Tap","Filtration",1.42,6.68,2923,70.28,300,26.49,81552,52.01,66.8
"Brazil","Central",2013,"Pond","None",3.05,6.74,938,75.22,163,76.89,31953,83.63,49.25
"Ethiopia","East",2022,"Pond","None",8.23,6.9,2496,50.22,335,19.68,47159,60.13,99.55
"India","Central",2019,"Well","Filtration",2.19,8.47,3562,45.81,178,92.97,37524,59.06,55.28
"Indonesia","East",2019,"River","None",2.43,7.96,1262,79.55,390,16.73,86689,38.41,54.76
"Bangladesh","West",2005,"Well","Chlorination",6.42,6.18,542,77.01,416,80.88,81945,78.96,87.16
"Nigeria","North",2021,"Pond","Boiling",2.76,8.18,2679,38.59,47,43.58,26435,68.31,40.08
"Pakistan","North",2024,"Lake","None",2.17,7.58,2954,46.7,193,20.23,68109,33.88,25.28
"USA","Central",2004,"Well","None",2.54,8.23,2931,96.26,288,41.43,28651,99.36,88.31
"Nigeria","North",2023,"Tap","Filtration",4.91,6.85,2781,51.29,205,23.71,36638,46.28,67.12
"Bangladesh","West",2020,"Spring","Boiling",9.66,7.16,4239,31.81,83,15.33,68520,31.66,40.81
"Nigeria","Central",2017,"Pond","Chlorination",8.32,8.24,2991,34.46,100,25.44,40170,68.78,47.42
"Bangladesh","East",2014,"Pond","Chlorination",2.85,6.68,2612,84.28,154,87.01,40673,22.28,54.05
"Bangladesh","North",2005,"Tap","Boiling",3.63,8.29,3648,83,46,12.38,28481,83.06,74.43
"Mexico","South",2024,"Well","Chlorination",4.65,8.07,1199,56.73,233,97.31,3884,68.04,57.45
"Brazil","North",2018,"River","Boiling",9.79,8.45,2117,40.72,340,2.49,60916,87.01,51.67
"Indonesia","East",2000,"Lake","Filtration",1.72,6.81,2680,64.87,449,66.51,82942,32.91,82.44
"Mexico","Central",2000,"Spring","Chlorination",3.57,6.59,2848,53.23,298,85.94,18577,85.44,25.75
"Pakistan","East",2012,"River","Chlorination",7.29,6.83,4688,56.18,335,93.53,70219,50.09,72.2
"Mexico","South",2002,"River","Boiling",9.64,8.39,4662,48.27,146,16.11,92901,5.92,55.91
"China","West",2009,"Tap","Chlorination",1.56,6.83,4786,34.4,195,70.42,81380,19.42,46.79
"China","North",2020,"Well","None",2.27,7.41,3681,85.38,393,12.52,99401,21.76,94.21
"Indonesia","Central",2002,"Pond","Filtration",2.26,7.01,3495,73.28,21,36.56,96754,76.8,82.23
"Nigeria","West",2008,"Pond","Chlorination",0.21,6.99,664,88.42,459,73.73,7995,20.31,37.54
"Brazil","East",2007,"Tap","Chlorination",6.04,6.48,4501,65.22,193,35.91,92770,56.19,72.19
"Indonesia","Central",2002,"Well","Chlorination",6.71,7.34,3162,98.95,385,32.71,65731,65.25,85.78
"Bangladesh","West",2024,"Tap","Boiling",6.03,8.12,3365,97.38,488,13.37,84756,77.39,99.15
"India","Central",2012,"Pond","Filtration",0.71,6.12,1416,49.02,363,8.51,55869,78.39,75.87
"Brazil","South",2005,"River","Filtration",0.69,8.22,3108,57.09,353,13.3,65772,71.76,75.26
"Brazil","South",2012,"Lake","Chlorination",2.1,7.66,516,82.69,273,87.8,31327,21.32,69.06
"Bangladesh","North",2022,"Well","Chlorination",2.9,7.54,849,84.36,383,3.1,24567,54.35,23.2
"Bangladesh","North",2019,"Spring","Boiling",7.87,7.56,1901,93.75,207,69.9,84134,29.02,66.8
"USA","South",2019,"Spring","Filtration",1.59,6.74,907,75.68,274,77.33,94350,77.51,84.4
"Indonesia","Central",2011,"River","None",0.44,7.04,315,63.26,494,57.65,13588,74.81,51.63
"Bangladesh","South",2012,"Tap","Chlorination",3.94,8,3243,56.44,216,73.62,11476,22.96,66.96
"China","North",2001,"Tap","None",4.16,6.77,1507,59.34,413,65.92,69212,64.13,94.12
"Pakistan","South",2020,"Pond","None",4.51,7.18,4122,89.53,495,46.64,32625,5.84,33.76
"India","South",2023,"River","Filtration",8.27,6.05,1518,98.6,389,39.51,96327,76.85,42.44
"Indonesia","Central",2022,"Pond","None",0.98,7.83,4150,33.63,26,94.25,90814,78.02,28.83
"Ethiopia","West",2015,"Pond","Chlorination",7.04,7.04,1934,70.62,14,97.25,36166,34.7,60.02
"China","North",2022,"Spring","Chlorination",3.38,7.31,4344,66.4,158,65.82,28648,80.63,87.17
"Nigeria","Central",2005,"Pond","Boiling",3.1,6.29,1801,56.33,427,21.34,83684,85.83,54.82
"Bangladesh","South",2018,"Pond","Filtration",9.33,8.48,2622,89.61,213,45.89,72979,19.01,25.59
"Ethiopia","South",2020,"Spring","Filtration",2.48,6.76,856,70.3,459,50.66,7350,35.09,41.08
"Bangladesh","West",2012,"Tap","None",6.43,7.59,1876,51.92,393,76.28,48832,26.11,91.18
"Brazil","North",2016,"Well","Chlorination",2.75,7.45,1525,61.09,404,67.44,91849,37.44,64.6
"China","North",2022,"Lake","Chlorination",5.07,7.96,1416,54.98,430,52.45,31660,44.69,93.13
"Brazil","East",2008,"Pond","Boiling",7.86,6.73,3479,60.11,438,68.68,2054,51,86.76
"USA","North",2016,"Well","None",8.82,7.89,3871,34.99,378,4.36,57031,3.51,53.14
"Brazil","West",2001,"Spring","Chlorination",8.39,6.96,1794,37.83,350,78.11,57896,5.52,70.68
"USA","East",2018,"Well","Filtration",5.82,7.03,3065,73.66,163,22.74,61426,65.52,73.15
"USA","East",2018,"Lake","Boiling",2.49,7.68,2720,77.88,126,66.33,93771,44.27,79.74
"Ethiopia","South",2023,"Well","Filtration",6.61,7.96,4204,74.56,329,13.17,66707,8.97,46.64
"Bangladesh","South",2006,"Well","Boiling",7.1,7.67,3676,83.42,57,13.22,61948,38.62,43.12
"Nigeria","North",2021,"Well","Filtration",0.11,8.25,352,96.05,146,5.49,95756,47.55,74.77
"Brazil","East",2009,"Well","None",4.39,6.71,3231,90.24,470,91.2,78548,63.56,85.5
"China","South",2009,"River","Chlorination",8.43,8.25,1427,59.3,447,61.25,43937,11.83,53.14
"USA","West",2019,"Pond","Filtration",4.9,6.33,2192,45.23,255,37.47,34719,99.48,45.69
"Bangladesh","South",2008,"Spring","None",3.11,7.65,1777,51.83,109,79.2,87733,47.47,86.04
"India","South",2016,"Lake","Filtration",8.72,7.37,3536,71.14,393,63.36,71273,68.08,74.96
"Indonesia","East",2014,"Spring","None",1.56,7.24,1116,89.93,48,62.77,56690,90.82,47.48
"Ethiopia","East",2001,"River","Boiling",2.06,6.78,2320,79.12,181,49.73,55695,3.18,62.37
"Nigeria","Central",2003,"River","None",6.87,7.26,533,68.01,60,2.78,27096,60.14,96.87
"Mexico","West",2018,"River","Filtration",3.52,6.4,1217,72.13,442,27.33,24022,54.04,79.99
"Ethiopia","East",2016,"Pond","Chlorination",7.13,6.92,2988,66.98,474,12.69,43585,5.74,37.73
"India","North",2004,"River","Boiling",1.58,6.25,2228,98.01,234,66.92,26251,69.3,43.6
"Indonesia","West",2006,"Well","Boiling",2.52,7.43,1979,87.13,241,26.36,93016,22.08,41.22
"India","West",2017,"Spring","None",1.57,6.24,2076,84.69,129,46.12,9974,70.19,87.87
"Brazil","East",2020,"Tap","Filtration",9.53,6.4,531,66.21,330,36.64,1034,36.26,71.31
"USA","West",2021,"Lake","None",4.05,6.21,3076,53.23,263,16.03,12540,77.01,95.2
"Nigeria","East",2006,"River","Boiling",3.37,6.95,1944,31.37,402,95.92,41029,94.18,27.27
"Pakistan","South",2016,"Spring","Chlorination",0.14,8.1,4235,33.04,207,93.48,5166,86.05,24.16
"USA","Central",2006,"River","None",1.53,8.27,3099,32.12,451,10.29,37941,48.26,74.1
"Pakistan","South",2003,"Pond","Filtration",4.21,6.18,4357,98.63,141,83.08,68198,22.53,41.33
"Indonesia","East",2007,"River","None",0.69,7.59,3829,38.01,21,49.86,37266,99.24,74.33
"Bangladesh","East",2012,"River","None",5.11,7.71,4114,39.95,16,77.83,24385,65.95,77.88
"Mexico","South",2003,"River","None",4.55,7.33,2584,63.89,362,16.81,36960,39.6,44.36
"China","North",2005,"River","Chlorination",7.67,7.67,1548,63.7,318,14.96,26915,48.15,96.21
"USA","North",2024,"Lake","Filtration",6.6,6.58,1488,94.4,121,89.29,41790,12.81,81.98
"Nigeria","North",2004,"Spring","Filtration",4.46,7.22,3659,35.15,281,89.99,55315,50.53,49.39
"India","East",2011,"Pond","Boiling",2.25,6.98,227,97.01,226,47.66,60616,17.32,52.97
"Nigeria","West",2003,"River","Boiling",7.27,6.22,4471,45.15,419,87.28,46538,36.57,77.27
"Indonesia","East",2023,"River","None",7.08,7.56,4831,97.91,372,67.41,50225,49.18,44.32
"Pakistan","West",2008,"River","Boiling",1.53,7.24,4352,67.89,300,20.13,39414,94.78,43.63
"India","South",2003,"River","Filtration",9.15,6.69,4928,75.64,496,34.24,40818,62.47,69.99
"China","Central",2018,"Well","None",0.64,7.18,4796,52.1,285,15.33,99327,37.19,30.78
"China","West",2023,"Well","Boiling",0.55,7.94,698,72.83,115,77.85,96296,11.31,99.47
"USA","North",2013,"Tap","Chlorination",1.87,8,437,79.76,148,98.55,42631,74.72,42.98
"Indonesia","East",2004,"River","Boiling",9.09,7.62,1684,30.73,403,55.55,44013,46.69,50.62
"Bangladesh","South",2017,"Tap","Chlorination",5.2,7.17,2153,32.4,169,66.27,45639,6.82,37.94
"Indonesia","North",2009,"Lake","Boiling",7.88,7.44,4710,99.05,89,75.12,42881,65.69,71.48
"Pakistan","South",2024,"Tap","Filtration",2.28,6.96,2914,62.03,118,23.98,10923,35.01,24.84
"Nigeria","Central",2018,"Spring","Boiling",4.9,6.32,3217,95.51,183,34.93,2716,40.39,94.22
"China","East",2011,"Well","Chlorination",3.58,6.96,959,81.09,395,42.41,32804,83.89,44.32
"Nigeria","East",2017,"Well","Chlorination",8.28,7.33,1839,56.11,263,60.27,72372,13.73,94.19
"Nigeria","Central",2016,"River","Boiling",0.23,7.5,277,40.56,226,85.35,16073,34.04,40.28
"Nigeria","East",2023,"River","None",2.44,8.34,4220,98.47,92,26.91,87899,36.37,61.1
"China","West",2010,"Lake","Chlorination",1.53,7.94,3756,70.91,116,48.15,24594,0.33,75.61
"Ethiopia","South",2002,"Pond","Filtration",8.59,6.38,1343,43.46,489,75.65,75407,84.53,69.01
"Brazil","North",2022,"Lake","Boiling",4.68,6.44,4770,77.72,446,10.56,36863,83.53,61
"Pakistan","Central",2016,"Spring","Chlorination",4.04,6.25,714,36.44,311,52.26,21251,66.18,83.08
"Ethiopia","West",2000,"River","Boiling",4.49,7.85,1505,90.76,390,16.15,55508,89.89,57.64
"Pakistan","North",2014,"River","Boiling",9.72,7.77,3921,36.31,317,54.84,10551,27.29,46.65
"India","North",2008,"Lake","None",8.5,8.47,2714,46.53,120,77.25,54653,22.06,77.49
"Indonesia","Central",2014,"Lake","Boiling",7.06,7.31,1347,36.4,316,25.22,1237,6.85,94.98
"Indonesia","West",2023,"Lake","Boiling",2.9,8.07,2442,37.27,137,85.25,77020,59.2,68.11
"Mexico","North",2002,"Well","Boiling",1.65,7.44,4868,66.67,230,34.81,19702,49.64,42.38
"Indonesia","North",2021,"Tap","Filtration",9.21,8.19,3960,78.09,305,20.7,13586,81.04,81.02
"China","West",2018,"Tap","Boiling",4.23,7.8,1752,85.19,147,47.6,84583,48.13,80.95
"Bangladesh","East",2012,"River","Filtration",2.79,7.61,2505,78.65,283,87.86,79284,20.32,41.35
"USA","North",2011,"Well","Boiling",4.71,7.41,1737,55.44,141,8.76,85496,80.96,50.77
"Mexico","South",2019,"Lake","None",9.18,7.81,4169,69.01,331,34.1,89336,45.55,31.28
"USA","West",2000,"River","None",3.87,7.05,1108,94.94,7,66.01,29237,95.58,26.37
"Pakistan","North",2020,"Well","Chlorination",5.63,6.24,2679,57.13,390,37.04,41986,53.45,84.59
"USA","Central",2016,"Spring","Boiling",8.03,6.1,1037,47.67,4,8.94,33716,11.67,49.81
"USA","South",2012,"Pond","None",4.27,7.2,911,66.35,256,34.54,44680,85.1,42.5
"Mexico","North",2000,"Well","None",2.34,7.5,4889,50.81,366,82.45,14936,87.84,40.49
"India","South",2009,"River","Boiling",9.95,6.2,2096,48.33,328,96.87,49594,44.54,25.98
"Nigeria","South",2014,"Tap","Chlorination",9.57,6.72,3013,84.52,491,5.9,24318,2.6,98.79
"Indonesia","East",2006,"Lake","Filtration",8.43,6.81,358,92.36,245,57.79,72909,2.97,49.36
"Indonesia","South",2021,"Pond","None",6.88,7.41,1076,65.16,465,12.32,72733,35.11,33.14
"China","East",2017,"Spring","None",2.95,6.7,2103,84.58,234,68.68,4661,71.62,89.13
"Mexico","West",2015,"Pond","Filtration",9.13,6.24,4974,43.1,361,2.77,10543,33.11,77.85
"China","East",2013,"Pond","None",2.76,6.41,3527,68.34,9,3.44,66155,0.77,73.01
"Bangladesh","Central",2017,"Well","Filtration",8.01,6.43,2302,74.53,241,78.13,15080,84.86,43.78
"Bangladesh","North",2006,"River","Filtration",9.18,8.11,4100,64.35,441,9.29,54136,96.87,53.24
"China","West",2016,"River","Chlorination",6.03,6.71,1604,38.18,320,31.91,13074,34.64,87.29
"Mexico","West",2017,"Pond","Filtration",8.03,7.79,1075,81.39,187,95.89,32291,7.31,71.19
"China","Central",2011,"Lake","Filtration",7.92,7.42,4048,88.74,403,98.55,85267,29.14,47.65
"Indonesia","East",2007,"River","Filtration",1.93,8.44,328,74.47,313,17.82,51442,79.9,28.74
"Ethiopia","North",2021,"Pond","Filtration",6.68,6.68,3232,41.84,426,56.97,50002,54.23,92.02
"Brazil","East",2001,"River","None",0.93,6.4,3477,35.22,412,56.8,10894,38.4,96.44
"USA","South",2006,"Lake","Filtration",5.08,6.13,1002,51.11,1,46.33,93944,33.42,77.5
"Brazil","East",2003,"Spring","None",1.62,6.6,4878,32.59,153,92.62,2750,11.54,75.31
"Mexico","West",2017,"Pond","Boiling",4.16,7.71,576,88.75,202,75.9,21944,33.95,63.02
"Brazil","North",2005,"Tap","Boiling",8.33,6.21,326,79.21,216,76.92,47464,47.01,97.72
"Bangladesh","East",2008,"Tap","Filtration",9.87,6.61,1527,69.46,481,28.42,23467,67.31,75.53
"Pakistan","North",2008,"Pond","Chlorination",3.18,8.14,2821,92.27,314,44.56,20121,26.21,26.14
"USA","North",2013,"Well","Chlorination",5.32,7.46,1465,37.71,104,49.77,88942,89.74,27.34
"Nigeria","South",2007,"Spring","None",5.11,6.17,3225,80.01,0,31.29,25123,48.48,97.09
"Mexico","South",2018,"Well","None",9.54,6.12,2281,40.26,253,11.29,92888,40.52,95.46
"USA","West",2002,"Tap","Boiling",4.79,6.15,4747,34.26,286,14.38,61640,59.4,64.63
"Brazil","Central",2017,"Lake","None",6.99,8.35,2380,39.3,293,19.71,55499,16.76,37.13
"Bangladesh","North",2004,"Pond","Chlorination",9.22,8.12,494,96.57,277,21.96,46545,10.66,66.68
"India","Central",2013,"River","Boiling",3.73,8.11,1138,60.83,193,25.74,96707,34.65,81.08
"Ethiopia","West",2003,"Tap","Filtration",9.02,8.31,2416,33.43,430,27.04,47396,3.99,20.66
"Nigeria","North",2006,"Spring","None",9.17,7.26,1356,70.85,256,46.66,15516,37.76,85.83
"Ethiopia","North",2019,"Tap","Filtration",9.31,6.62,1153,43.98,249,51.94,81417,67.15,57.18
"USA","Central",2024,"Spring","None",2.7,7,3249,30.48,247,32.27,16821,81.21,57.05
"Bangladesh","East",2011,"Spring","Chlorination",4,7.8,2142,83.09,87,90.92,11876,57.98,54.74
"Bangladesh","South",2001,"Pond","None",8.7,8.19,3388,40.84,433,56.21,18776,69.13,75.35
"Brazil","East",2010,"Spring","Chlorination",3.59,7.09,1124,95.97,419,79.17,83317,83.31,36.76
"Indonesia","Central",2013,"Well","Chlorination",6,7.34,801,71.5,252,92.58,35006,77.31,68.53
"Brazil","South",2021,"Lake","Filtration",1.18,8.33,2042,36.09,428,17.99,79892,32,23.53
"Indonesia","East",2022,"Tap","None",0.56,6.27,207,45.25,163,43.93,26044,57.34,84.91
"Indonesia","South",2015,"Lake","Filtration",4.12,8.16,2654,72.76,494,44.45,77230,26.49,85.24
"Nigeria","North",2019,"River","Chlorination",5.79,6.4,472,53.67,161,36.74,61004,57.63,44.95
"Brazil","East",2005,"Tap","Chlorination",3.93,7.21,1638,67.25,264,2.87,46201,42.6,28.43
"India","South",2022,"Lake","Chlorination",5.78,6.55,135,85.97,459,81.97,35771,37.28,79.82
"China","South",2003,"Lake","Chlorination",5.15,7.51,4356,85.48,109,12.93,22944,18.36,57.62
"China","South",2014,"Pond","Boiling",6.86,7.4,1170,78.86,339,99.56,87570,56.18,94
"Brazil","East",2023,"Pond","Chlorination",6.5,6.95,457,92.02,387,77.75,89166,72.93,48.28
"Brazil","West",2024,"River","None",4.24,8.16,1436,43.96,206,58.84,10162,57.13,87.32
"Ethiopia","East",2000,"Spring","Chlorination",4.25,7.65,3571,42.41,318,17.15,53151,6.92,22.03
"Nigeria","Central",2006,"Tap","Boiling",1.41,7.8,2148,85.95,131,52.51,77858,92.43,81.82
"Brazil","East",2024,"Pond","None",5.13,6.38,4242,52.46,132,27.59,13752,0.55,74.26
"Ethiopia","South",2011,"Tap","Boiling",5.87,8.21,4812,65.85,393,26.73,27714,88.51,62.1
"Indonesia","North",2009,"River","Boiling",4.76,6.42,506,82.08,107,83.29,35829,76.61,92.83
"Bangladesh","East",2004,"Pond","None",3.26,6.56,2605,57.72,171,39.3,16850,9.66,95.36
"Bangladesh","East",2011,"Pond","Boiling",7.22,6.32,2383,39.11,39,46.17,20487,23.66,94.37
"Indonesia","South",2017,"Spring","Chlorination",0.75,7.1,445,77.56,291,84.61,50038,34.9,67.82
"Mexico","North",2009,"Tap","Filtration",9.14,8.22,2781,87.2,34,10.6,7261,91.03,61.55
"Ethiopia","North",2005,"Tap","Filtration",0.21,6.63,443,30.9,58,60.27,24858,97.99,41.52
"Ethiopia","Central",2011,"Tap","Filtration",9.62,6.93,117,69.38,192,58.67,55101,8.72,32.97
"Indonesia","East",2006,"Spring","None",4.62,8.12,1540,62.86,209,43.67,90749,39.69,64.57
"India","North",2017,"Pond","None",4.13,7.54,2770,48.17,371,83.32,4251,14.93,31.88
"Pakistan","North",2001,"River","None",2.56,7.88,566,41.27,30,94.4,6344,27.84,33.77
"USA","West",2009,"Tap","Filtration",0.1,6.54,3602,43.16,173,47.6,29653,98.11,48.54
"Indonesia","West",2014,"Lake","Filtration",2.75,7.79,1936,80.75,304,46.7,8991,98.44,34.94
"Brazil","North",2011,"Spring","None",1.09,6.57,4183,67.53,389,51.2,16915,47.21,60.14
"Brazil","Central",2016,"Well","Filtration",6.6,8.47,1652,98.68,197,72.87,9233,18.31,73.1
"Nigeria","North",2003,"River","Boiling",3.19,7.4,4571,47.03,105,67.47,31016,54.7,75.83
"Indonesia","South",2006,"Lake","Boiling",7.67,7.74,4390,96.98,274,23.84,50198,32.07,62.62
"Nigeria","East",2008,"Tap","Filtration",2.07,6.3,4815,66.06,95,8.26,15259,92.88,61.74
"Indonesia","Central",2018,"Well","None",9,6.63,4781,40.22,169,95.03,86560,81.82,57.98
"Ethiopia","South",2022,"River","Chlorination",5.23,6.35,2686,40.37,29,27.58,25455,30.88,39.62
"USA","Central",2006,"Spring","Chlorination",1.15,6.98,1203,72.6,281,64.58,84335,1.83,72.34
"Ethiopia","South",2022,"Well","Filtration",4.01,6.71,2937,88.2,386,83.19,54706,99.8,72.56
"Pakistan","East",2001,"Pond","Chlorination",2.07,7.83,405,82.34,160,31.43,27261,68.33,40.46
"Bangladesh","East",2005,"Well","None",2,6.27,3907,75.89,305,64.27,24610,42.57,76.05
"China","West",2017,"Lake","Boiling",5.06,7.88,4214,42.05,414,12.57,13195,28.85,88.64
"Indonesia","South",2005,"River","Boiling",6.72,6.11,4079,37.58,110,97.05,90796,0.44,67.58
"Pakistan","West",2012,"Lake","None",9.12,6.51,312,30.02,211,7.7,76293,15.4,29.4
"Bangladesh","South",2018,"Lake","Chlorination",5.02,7.98,162,37.13,195,44.94,51372,0.59,46.18
"Mexico","West",2001,"Tap","Filtration",9.66,7.86,1528,83.65,95,54.61,65953,59.76,27.42
"USA","East",2011,"Spring","Boiling",9.42,7.19,4388,92.67,337,79.47,33438,66.33,44.16
"Nigeria","Central",2014,"Well","Chlorination",8.65,6.12,4785,46.82,137,13.87,32320,76.68,36.96
"Nigeria","West",2013,"River","Chlorination",5,7.52,1565,85.64,277,45.2,9091,18.7,64.37
"Ethiopia","South",2005,"Pond","Boiling",1.41,7.02,4768,43.92,446,31.37,48513,9.6,53.88
"Brazil","South",2017,"Spring","Boiling",2.18,6.79,398,47.45,309,32.58,12284,65.05,77.81
"Bangladesh","East",2004,"Spring","Filtration",6.48,7.6,3586,45.69,178,78.32,65212,49.99,49.04
"Mexico","South",2017,"River","None",4.22,7.09,1047,33.62,336,2.54,28728,87.57,32.38
"Pakistan","North",2002,"Spring","Chlorination",1.47,6.23,1942,43.58,233,75.41,83760,53.33,38.88
"USA","Central",2002,"Tap","Filtration",4.79,8.29,3130,56.15,248,81.42,63486,44.48,63.66
"Bangladesh","West",2021,"Spring","Boiling",0.17,7.95,2796,58.38,131,90.33,24966,48.8,55.99
"Mexico","Central",2021,"Tap","None",7.34,6.14,239,51.66,248,63.43,12313,78.23,23.41
"China","East",2009,"Well","None",0.74,7.31,2358,66.03,292,34.68,93187,1.83,36.8
"Indonesia","West",2018,"Well","Chlorination",6.29,6.21,671,56.46,454,43.87,7120,91.82,43.74
"Nigeria","West",2002,"Lake","None",7.93,8.09,2619,97.93,498,97.03,26424,71.42,78.03
"Pakistan","North",2011,"Tap","Boiling",1.33,7.53,2461,86.51,62,88.36,73958,88.53,78.43
"Nigeria","East",2015,"Pond","Boiling",5.19,6.43,3393,95.17,306,47.43,54506,95.96,75.84
"Pakistan","South",2016,"Well","Boiling",7.79,6.05,401,69.02,391,94.42,35357,22.6,85.48
"Ethiopia","North",2006,"Spring","Filtration",2.61,6.08,2106,77.48,256,82.65,99037,57.83,89.91
"Brazil","North",2012,"River","Boiling",1.63,7.27,4148,41.67,247,90.31,17439,48.6,25.69
"Pakistan","Central",2023,"River","Filtration",3.37,7.84,1087,82.7,263,68.93,93096,53.76,59.44
"Nigeria","Central",2001,"Tap","Boiling",5.55,6.3,1142,46.52,466,86.05,76182,4.73,31.92
"Ethiopia","Central",2003,"Pond","Boiling",5.75,6.55,4381,40.21,336,89.39,63243,91.4,48.32
"Pakistan","North",2009,"Lake","None",1.31,6.82,2065,32.93,360,11.02,69311,95.47,73.06
"China","South",2006,"Spring","Chlorination",4.58,6.55,3908,63.06,499,96.59,15578,68.51,68.13
"Brazil","West",2023,"Tap","Boiling",2.68,6.98,4255,50.08,438,34.69,58646,25.83,30.28
"Pakistan","Central",2016,"River","None",8.42,7.4,3959,99.07,367,45.11,38214,78.72,80.57
"Ethiopia","South",2019,"Tap","None",3.14,7.71,141,47.49,392,79.61,1345,73.08,82.96
"Bangladesh","East",2005,"Spring","Chlorination",8.39,8.41,396,90.66,178,67.16,31178,57.46,31.13
"India","Central",2018,"Pond","None",4.29,8.33,2627,52.15,399,89.52,7153,17.02,69.25
"Mexico","West",2004,"Pond","None",7.27,7.43,4629,82.44,436,41.26,67355,20.12,95.62
"India","East",2009,"Well","Chlorination",5.1,7.84,1555,76.19,314,38.58,86537,58.94,27.52
"India","East",2008,"Spring","Filtration",6.22,8.38,2508,69.32,300,5.11,43170,12.88,33.17
